Title,Type,Episodes,Status,Start airing,End airing,Starting season,Studios,Sources,Genres,Rating,Score,Scored by,Members,Favorites
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,Movie,1,Finished Airing,12/23/2011,-,-,OLM,Game,"Sci-Fi,Sports,Super Power,Shounen",G,7.63,3479,6565,15
Inu x Boku SS,TV,12,Finished Airing,1/13/2012,3/30/2012,Winter,David Production,Manga,"Comedy,Supernatural,Romance,Shounen",PG-13,7.63,137941,280642,2790
Kiniro no Corda: Primo Passo,TV,25,Finished Airing,10/2/2006,3/26/2007,Fall,Yumeta Company,Visual novel,"Comedy,Drama,Harem,Magic,Music,Romance,School,Shoujo",PG-13,7.63,36658,71800,1122
Konnichiwa Anne: Before Green Gables,TV,39,Finished Airing,4/5/2009,12/27/2009,Spring,Nippon Animation,Novel,"Drama,Historical,Kids,Slice of Life",G,7.63,816,3511,13
Love Stage!!,TV,10,Finished Airing,7/10/2014,9/11/2014,Summer,J.C.Staff,Manga,"Comedy,Romance,Shounen Ai",PG-13,7.63,65184,117399,1275
Oda Nobuna no Yabou,TV,12,Finished Airing,7/9/2012,9/24/2012,Summer,"Madhouse,Studio Gokumi",Light novel,"Comedy,Historical,Romance",PG-13,7.63,90302,176377,971
Owari no Seraph,TV,12,Finished Airing,4/4/2015,6/20/2015,Spring,Wit Studio,Manga,"Action,Military,Supernatural,Drama,Vampire,Shounen",R,7.63,269154,489164,6516
Persona 4 the Animation,TV,25,Finished Airing,10/7/2011,3/30/2012,Fall,AIC A.S.T.A.,Game,"Sci-Fi,Adventure,Mystery,Super Power,Supernatural,School",PG-13,7.63,75266,165559,1728
PriPara,TV,140,Finished Airing,7/5/2014,3/28/2017,Summer,"Tatsunoko Production,Dongwoo A&E",Game,"Music,Slice of Life,School,Shoujo",PG,7.63,1568,10973,210
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,1,Finished Airing,12/20/1997,-,-,Studio Gallop,Manga,"Samurai,Historical,Drama,Shounen",R,7.63,20869,37127,92
Shion no Ou,TV,22,Finished Airing,10/14/2007,3/23/2008,Fall,Studio Deen,Manga,"Drama,Game,Mystery,Thriller",PG-13,7.63,8217,23513,77
Tenshi no Tamago,OVA,1,Finished Airing,12/22/1985,-,-,Studio Deen,Original,"Fantasy,Dementia,Drama",PG-13,7.63,20431,52097,1049
Toaru Majutsu no Index,TV,24,Finished Airing,10/5/2008,3/19/2009,Fall,J.C.Staff,Light novel,"Action,Magic,Sci-Fi,Super Power",R,7.63,197827,403397,4209
Urusei Yatsura Movie 5: Final,Movie,1,Finished Airing,2/6/1988,-,-,-,Manga,"Action,Sci-Fi,Adventure,Comedy,Drama,Romance",PG-13,7.63,1475,3576,9
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,OVA,1,Finished Airing,9/19/2013,-,-,Brain's Base,Light novel,"Comedy,Romance,School",PG-13,7.63,69042,111341,241
Arslan Senki (TV): Fuujin Ranbu,TV,8,Finished Airing,7/3/2016,8/21/2016,Summer,LIDENFILMS,Manga,"Action,Adventure,Historical,Supernatural,Drama,Fantasy,Shounen",PG-13,7.62,43211,81092,130
Detective Conan: Black History 2,Special,1,Finished Airing,12/17/2007,-,-,TMS Entertainment,-,"Adventure,Mystery,Comedy,Police,Shounen",PG-13,7.62,1006,3462,2
Digimon Adventure tri. 1: Saikai,Movie,1,Finished Airing,11/21/2015,-,-,Toei Animation,Original,"Action,Adventure,Comedy,Drama",PG-13,7.62,38419,75232,293
Drifters (OVA),OVA,2,Finished Airing,12/23/2017,-,-,Hoods Drifters Studio,Manga,"Action,Adventure,Comedy,Historical,Samurai,Fantasy,Seinen",R,7.62,3718,40210,60
Fushigi no Umi no Nadia,TV,39,Finished Airing,4/13/1990,4/12/1991,Spring,Gainax,Original,"Adventure,Comedy,Historical,Romance,Sci-Fi",PG-13,7.62,10859,33613,330
Ghost in the Shell: Arise - Border:2 Ghost Whispers,Movie,1,Finished Airing,11/30/2013,-,-,Production I.G,Manga,"Mecha,Police,Psychological,Sci-Fi",R,7.62,16581,32450,29
Hokuto no Ken: Raoh Gaiden Gekitou-hen,Movie,1,Finished Airing,4/28/2007,-,-,Toei Animation,-,"Action,Adventure,Martial Arts,Romance",R,7.62,2685,5921,14
InuYasha: Guren no Houraijima,Movie,1,Finished Airing,12/23/2004,-,-,Sunrise,Manga,"Adventure,Comedy,Demons,Drama,Historical,Romance,Shounen,Supernatural",PG-13,7.62,32926,57485,178
Love Live! School Idol Project,TV,13,Finished Airing,1/6/2013,3/31/2013,Winter,Sunrise,Other,"Slice of Life,Music,School",PG-13,7.62,116730,229793,6259
Mahou Shoujo Lyrical Nanoha: Reflection,Movie,1,Finished Airing,7/22/2017,-,-,Seven Arcs Pictures,Original,"Action,Super Power,Drama,Magic",PG-13,7.62,658,7586,21
Mainichi Kaasan,TV,142,Finished Airing,4/1/2009,3/25/2012,Spring,-,Manga,"Slice of Life,Comedy",PG,7.62,396,2057,24
Major 2nd (TV),TV,-,Currently Airing,4/7/2018,-,Spring,NHK Enterprises,Manga,"Comedy,Sports,Drama,Shounen",PG-13,7.62,757,7585,28
Marmalade Boy,TV,76,Finished Airing,3/13/1994,9/3/1995,Spring,Toei Animation,Manga,"Comedy,Drama,Romance,Shoujo",PG-13,7.62,12209,29984,451
Mirai Nikki: Redial,OVA,1,Finished Airing,6/19/2013,-,-,Asread,Manga,"Action,Psychological,Supernatural,Shounen",R,7.62,121544,187358,463
"Momoko, Kaeru no Uta ga Kikoeru yo.",Movie,1,Finished Airing,7/23/2003,-,-,-,Book,"Drama,School,Slice of Life",G,7.62,583,1713,10
Nijuu Mensou no Musume,TV,22,Finished Airing,4/13/2008,9/28/2008,Spring,"Bones,Telecom Animation Film",Manga,"Action,Adventure,Mystery",PG-13,7.62,8879,24616,147
Omoide Poroporo,Movie,1,Finished Airing,7/20/1991,-,-,Studio Ghibli,Manga,"Slice of Life,Drama,Romance",G,7.62,26756,55374,447
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,Special,1,Finished Airing,4/15/2009,-,-,Shaft,Manga,"Parody,Comedy,School",PG-13,7.62,3631,7502,3
Perrine Monogatari,TV,53,Finished Airing,1/1/1978,12/31/1978,Winter,Nippon Animation,Novel,"Slice of Life,Historical,Drama,Shoujo",G,7.62,530,2439,9
Pokemon Black and White 2: Introduction Movie,ONA,1,Finished Airing,5/16/2012,-,-,OLM,Game,"Action,Fantasy,Kids",PG,7.62,5847,10451,17
R.O.D the TV,TV,26,Finished Airing,9/1/2003,3/16/2004,Fall,J.C.Staff,Light novel,"Action,Adventure,Comedy,Drama,Sci-Fi,Super Power",PG-13,7.62,22337,52849,385
Shin Tennis no Ouji-sama Specials,Special,7,Finished Airing,4/20/2012,4/24/2013,-,"Production I.G,M.S.C",Visual novel,"Action,Comedy,Sports,Shounen",PG-13,7.62,2602,6842,21
Shoukoushi Cedie,TV,43,Finished Airing,1/10/1988,12/25/1988,Winter,Nippon Animation,Novel,"Slice of Life,Drama,Shoujo",G,7.62,832,2105,12
Tatakae! Chou Robot Seimeitai Transformers,TV,98,Finished Airing,7/6/1985,6/26/1987,Summer,Toei Animation,Manga,"Sci-Fi,Adventure,Mecha,Shounen",PG-13,7.62,3494,6411,89
"Tokyo Ghoul: ""Jack""",OVA,1,Finished Airing,9/30/2015,-,-,Studio Pierrot,Manga,"Action,Drama,Horror,School,Seinen,Supernatural",R,7.62,61375,108859,317
"Yondemasu yo, Azazel-san. (TV)",TV,13,Finished Airing,4/8/2011,7/1/2011,Spring,Production I.G,Manga,"Comedy,Supernatural,Demons",R,7.62,23992,52025,297
Aa! Megami-sama!: Sorezore no Tsubasa Specials,Special,2,Finished Airing,2/23/2007,-,-,-,Manga,"Comedy,Magic,Romance,Seinen,Supernatural",PG-13,7.61,9794,19155,32
Acchi Kocchi (TV),TV,12,Finished Airing,4/6/2012,6/29/2012,Spring,AIC,4-koma manga,"Slice of Life,Comedy,Romance,School,Seinen",PG-13,7.61,80408,172404,1764
Blend S,TV,12,Finished Airing,10/8/2017,12/24/2017,Fall,A-1 Pictures,4-koma manga,"Slice of Life,Comedy",PG-13,7.61,84325,171777,1155
City Hunter: Goodbye My Sweetheart,Special,1,Finished Airing,4/25/1997,-,-,-,Manga,"Adventure,Comedy,Shounen",PG-13,7.61,1557,3462,4
Detective Conan Movie 11: Jolly Roger in the Deep Azure,Movie,1,Finished Airing,4/21/2007,-,-,TMS Entertainment,Manga,"Adventure,Police,Comedy,Mystery,Shounen",PG-13,7.61,14268,23950,11
Detective Conan OVA 04: Conan and Kid and Crystal Mother,OVA,1,Finished Airing,-,-,-,TMS Entertainment,Manga,"Adventure,Mystery,Police,Shounen",PG-13,7.61,5711,10877,3
Digimon Adventure Movie,Movie,1,Finished Airing,3/6/1999,-,-,Toei Animation,Original,"Action,Fantasy,Kids,Sci-Fi",PG,7.61,47813,72928,277
Flying Witch,TV,12,Finished Airing,4/10/2016,6/26/2016,Spring,J.C.Staff,Manga,"Slice of Life,Comedy,Supernatural,Magic,Shounen",PG-13,7.61,58054,143035,812
Hakuouki OVA,OVA,2,Finished Airing,-,-,-,Studio Deen,Visual novel,"Action,Historical,Supernatural,Drama,Samurai",PG-13,7.61,3372,9446,21
Hakuouki Reimeiroku,TV,12,Finished Airing,7/9/2012,9/24/2012,Summer,Studio Deen,Visual novel,"Action,Historical,Supernatural,Drama,Samurai,Josei",R,7.61,14114,36763,136
Hellsing,TV,13,Finished Airing,10/11/2001,1/17/2002,Fall,Gonzo,Manga,"Action,Horror,Supernatural,Vampire,Seinen",R,7.61,218433,391329,4809
