Title,Type,Episodes,Status,Start airing,End airing,Starting season,Studios,Sources,Genres,Rating,Score,Scored by,Members,Favorites
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,Movie,1,Finished Airing,2/19/2005,-,-,A.C.G.T.,Light novel,"Adventure,Drama,Fantasy",R,7.85,16877,35019,40
Mind Game,Movie,1,Finished Airing,8/7/2004,-,-,Studio 4°C,Manga,"Adventure,Comedy,Dementia,Psychological,Romance",R,7.85,16880,41888,600
Mobile Suit Gundam III: Encounters in Space,Movie,1,Finished Airing,3/13/1982,-,-,Sunrise,Original,"Action,Military,Sci-Fi,Adventure,Space,Drama,Mecha",PG-13,7.85,8221,14666,57
One Punch Man Specials,Special,6,Finished Airing,12/24/2015,5/27/2016,-,Madhouse,Web manga,"Action,Comedy,Parody,Sci-Fi,Seinen,Super Power,Supernatural",R,7.85,64539,121508,209
Oniisama e...,TV,39,Finished Airing,7/14/1991,5/31/1992,Summer,Tezuka Productions,Manga,"Psychological,Drama,School,Shoujo,Shoujo Ai",PG-13,7.85,4092,16167,344
Slayers,TV,26,Finished Airing,4/7/1995,9/29/1995,Spring,E&G Films,Light novel,"Adventure,Comedy,Demons,Magic,Fantasy",PG-13,7.85,42337,88367,1697
Tantei Gakuen Q,TV,45,Finished Airing,4/15/2003,3/20/2004,Spring,Studio Pierrot,Manga,"Comedy,Drama,Mystery,Police,Shounen",PG-13,7.85,8885,20329,185
Uchiage Hanabi,Music,1,Finished Airing,8/9/2017,-,-,Shaft,Other,Music,G,7.85,3044,5333,18
Ueki no Housoku,TV,51,Finished Airing,4/4/2005,3/27/2006,Spring,Studio Deen,Manga,"Adventure,Comedy,Supernatural,Drama,Shounen",PG-13,7.85,31376,73895,744
Yamada-kun to 7-nin no Majo (TV),TV,12,Finished Airing,4/12/2015,6/28/2015,Spring,LIDENFILMS,Manga,"Harem,Mystery,Comedy,Supernatural,Romance,School,Shounen",PG-13,7.85,175927,310853,2229
Ao no Exorcist,TV,25,Finished Airing,4/17/2011,10/2/2011,Spring,A-1 Pictures,Manga,"Action,Demons,Fantasy,Shounen,Supernatural",PG-13,7.84,514321,849566,13056
Arashi no Yoru ni,Movie,1,Finished Airing,12/10/2005,-,-,Group TAC,Book,"Adventure,Comedy,Drama,Fantasy",G,7.84,6714,13907,157
Black Jack,OVA,12,Finished Airing,12/21/1993,12/16/2011,-,Tezuka Productions,Manga,Drama,PG-13,7.84,5678,19092,201
Bokura wa Minna Kawai-sou,TV,12,Finished Airing,4/4/2014,6/20/2014,Spring,Brain's Base,Manga,"Slice of Life,Comedy,Romance,School",PG-13,7.84,113467,212209,1495
Bungou Stray Dogs: Dead Apple,Movie,1,Finished Airing,3/3/2018,-,-,Bones,Manga,"Action,Comedy,Mystery,Supernatural",PG-13,7.85,190,22477,73
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1,Finished Airing,1/6/2018,-,-,Kyoto Animation,Light novel,"Slice of Life,Comedy,Drama,Romance,School",PG-13,7.84,872,43730,105
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,Special,1,Finished Airing,7/22/2015,-,-,Shuka,Light novel,"Action,Mystery,Supernatural",R,7.84,13771,34216,38
Ie Naki Ko,TV,51,Finished Airing,10/2/1977,10/1/1978,Fall,"Madhouse,TMS Entertainment",Novel,"Adventure,Drama,Historical,Kids,Slice of Life",G,7.84,1930,6205,79
Jin-Rou,Movie,1,Finished Airing,11/17/1999,-,-,Production I.G,Manga,"Military,Police,Psychological,Drama,Romance",R,7.84,40252,84009,962
Kyou kara Maou!,TV,78,Finished Airing,4/3/2004,2/25/2006,Spring,Studio Deen,Light novel,"Adventure,Comedy,Demons,Fantasy,Shoujo",PG-13,7.84,24861,68933,1285
Mobile Suit Gundam Wing,TV,49,Finished Airing,4/7/1995,3/29/1996,Spring,Sunrise,Original,"Action,Military,Sci-Fi,Space,Drama,Mecha",PG-13,7.84,59497,101945,2213
Nurarihyon no Mago OVA,OVA,2,Finished Airing,12/4/2012,3/4/2013,-,Studio Deen,Manga,"Action,Demons,Shounen,Supernatural",PG-13,7.84,6548,14829,16
Ranma ½ OVA,OVA,6,Finished Airing,10/21/1993,8/19/1994,-,-,-,"Comedy,Martial Arts,Romance,Shounen",PG-13,7.84,10667,19862,54
The Disappearance of Conan Edogawa: The Worst Two Days in History,Special,1,Finished Airing,12/26/2014,-,-,TMS Entertainment,Manga,"Adventure,Police,Comedy,Mystery,Shounen",PG-13,7.84,2932,5744,5
The Perfect World,Music,1,Finished Airing,2/22/2018,-,-,-,Original,Music,G,7.85,1189,2789,17
Yuru Yuri' Nachuyachumi!,Special,2,Finished Airing,8/21/2015,9/18/2015,-,TYO Animations,Manga,"Slice of Life,Comedy,Shoujo Ai",PG-13,7.84,15601,29039,76
Ao Haru Ride,TV,12,Finished Airing,7/8/2014,9/23/2014,Summer,Production I.G,Manga,"Comedy,Drama,Romance,School,Shoujo,Slice of Life",PG-13,7.83,181946,328988,4624
Binbougami ga!,TV,13,Finished Airing,7/5/2012,9/27/2012,Summer,Sunrise,Manga,"Comedy,Parody,Shounen,Supernatural",PG-13,7.83,74873,149318,1018
Bishoujo Senshi Sailor Moon Crystal Season III,TV,13,Finished Airing,4/4/2016,6/27/2016,Spring,Toei Animation,Manga,"Demons,Magic,Romance,Shoujo",PG-13,7.83,11544,25300,211
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,Finished Airing,4/4/2015,6/27/2015,Spring,J.C.Staff,Light novel,"Action,Adventure,Comedy,Romance,Fantasy",PG-13,7.83,337790,551863,6030
Genshiken 2,TV,12,Finished Airing,10/10/2007,12/26/2007,Fall,Arms,Manga,"Comedy,Parody,Slice of Life",R,7.83,34918,62235,180
Hai to Gensou no Grimgar,TV,12,Finished Airing,1/11/2016,3/28/2016,Winter,A-1 Pictures,Light novel,"Action,Adventure,Drama,Fantasy",PG-13,7.83,176475,335888,3314
Lucky Star,TV,24,Finished Airing,4/8/2007,9/17/2007,Spring,Kyoto Animation,4-koma manga,"Slice of Life,Comedy,Parody,School",PG-13,7.83,186966,375644,9294
One Punch Man: Road to Hero,OVA,1,Finished Airing,12/4/2015,-,-,Madhouse,Web manga,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural,Seinen",R,7.83,85960,141639,251
Shaman King,TV,64,Finished Airing,7/4/2001,9/25/2002,Summer,Xebec,Manga,"Action,Adventure,Comedy,Supernatural,Drama,Shounen",PG-13,7.83,119671,213257,2812
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,Movie,1,Finished Airing,8/29/2015,-,-,TYO Animations,Original,"Comedy,Drama,Slice of Life",G,7.83,1494,4735,4
Toaru Kagaku no Railgun,TV,24,Finished Airing,10/3/2009,3/20/2010,Fall,J.C.Staff,Manga,"Action,Sci-Fi,Super Power",PG-13,7.83,141326,290091,3556
Ao no Exorcist Movie,Movie,1,Finished Airing,12/28/2012,-,-,A-1 Pictures,Manga,"Action,Demons,Fantasy,Shounen,Supernatural",PG-13,7.82,77323,144021,297
Arakawa Under the Bridge x Bridge,TV,13,Finished Airing,10/4/2010,12/27/2010,Fall,Shaft,Manga,"Comedy,Romance,Seinen",PG-13,7.82,53438,100740,343
Arslan Senki (TV),TV,25,Finished Airing,4/5/2015,9/27/2015,Spring,"SANZIGEN,LIDENFILMS",Manga,"Action,Adventure,Historical,Drama,Fantasy,Shounen",R,7.82,92278,210332,1183
Break Blade 2: Ketsubetsu no Michi,Movie,1,Finished Airing,6/26/2010,-,-,"Production I.G,Xebec",Manga,"Action,Fantasy,Mecha,Military,Shounen",R,7.82,31941,50069,23
Captain Tsubasa (2018),TV,-,Currently Airing,4/3/2018,-,Spring,David Production,Manga,"Action,Sports,Shounen",G,7.82,3214,23997,56
Da Yu Hai Tang,Movie,1,Finished Airing,7/8/2016,-,-,B&T,Original,"Adventure,Drama,Romance,Supernatural",PG-13,7.82,2244,13635,54
Detective Conan Movie 10: Promo Special,Special,1,Finished Airing,-,-,-,TMS Entertainment,4-koma manga,"Adventure,Police,Comedy,Mystery,Shounen",PG-13,7.82,2090,5388,6
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,Special,1,Finished Airing,2/24/1993,-,-,Toei Animation,Manga,"Adventure,Drama,Fantasy,Shounen",PG-13,7.82,35898,55329,170
Hellsing I: Digest for Freaks,OVA,1,Finished Airing,1/22/2006,-,-,Satelight,Manga,"Action,Super Power,Military,Supernatural,Horror,Vampire,Seinen",R,7.82,8917,25372,68
Macross F: Close Encounter - Deculture Edition,Special,1,Finished Airing,12/23/2007,-,-,Satelight,Original,"Action,Mecha,Military,Music,Sci-Fi,Space",PG-13,7.82,4705,9831,6
Naruto: Shippuuden Movie 6 - Road to Ninja,Movie,1,Finished Airing,7/28/2012,-,-,Studio Pierrot,Manga,"Action,Super Power,Adventure,Martial Arts,Shounen",PG-13,7.82,75867,124107,223
Nisekoi,TV,20,Finished Airing,1/11/2014,5/24/2014,Winter,Shaft,Manga,"Harem,Comedy,Romance,School,Shounen",PG-13,7.82,283061,501394,7660
Piano no Mori,Movie,1,Finished Airing,7/21/2007,-,-,Madhouse,Manga,"Adventure,Music,Comedy,Drama,School,Seinen",G,7.82,14165,34737,94
School Rumble Ichi Gakki Hoshuu,OVA,2,Finished Airing,12/22/2005,-,-,Studio Comet,Manga,"Comedy,Romance,School,Shounen",PG-13,7.82,26878,44935,107
Seikai no Senki,TV,13,Finished Airing,4/14/2000,7/14/2000,Spring,Sunrise,Light novel,"Action,Military,Romance,Sci-Fi,Space",PG-13,7.82,10427,21782,227
Seitokai Yakuindomo*,TV,13,Finished Airing,1/4/2014,3/30/2014,Winter,GoHands,4-koma manga,"Slice of Life,Comedy,School,Shounen",R,7.82,68504,134600,398
Uchuu Kaizoku Captain Herlock,TV,42,Finished Airing,3/14/1978,2/13/1979,Spring,Toei Animation,Manga,"Action,Sci-Fi,Adventure,Space,Drama,Seinen",PG-13,7.82,5312,19701,233
Bungou Stray Dogs,TV,12,Finished Airing,4/7/2016,6/23/2016,Spring,Bones,Manga,"Action,Mystery,Comedy,Supernatural,Seinen",R,7.81,159169,337790,4508
Death Note: Rewrite,Special,2,Finished Airing,8/31/2007,8/22/2008,-,Madhouse,Manga,"Mystery,Police,Psychological,Supernatural,Thriller",R,7.81,51603,108947,501
Detective Conan Movie 19: The Hellfire Sunflowers,Movie,1,Finished Airing,4/18/2015,-,-,TMS Entertainment,Manga,"Action,Mystery,Police,Shounen",PG-13,7.81,8159,14491,28
Hoozuki no Reitetsu 2nd Season: Sono Ni,TV,13,Currently Airing,4/8/2018,-,Spring,Studio Deen,Manga,"Comedy,Demons,Fantasy,Seinen,Supernatural",PG-13,7.81,593,7696,8
Kami nomi zo Shiru Sekai: Tenri-hen,OVA,2,Finished Airing,10/18/2012,12/18/2012,-,Manglobe,Manga,"Comedy,Harem,Romance,Supernatural,Shounen",PG-13,7.81,53117,85414,87
Kimi to Boku.,TV,13,Finished Airing,10/4/2011,12/27/2011,Fall,J.C.Staff,Manga,"Comedy,Drama,Romance,School,Shounen,Slice of Life",PG-13,7.81,39142,107507,1107
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Movie,1,Finished Airing,12/3/2016,-,-,Production I.G,Manga,"Comedy,Sports,Shounen",PG-13,7.81,3166,11653,21
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Movie,1,Finished Airing,3/14/2015,-,-,Kyoto Animation,Light novel,"Action,Supernatural,Fantasy",PG-13,7.81,29337,64191,142
Memories,Movie,3,Finished Airing,12/23/1995,-,-,"Madhouse,Studio 4°C",Manga,"Sci-Fi,Horror,Psychological,Drama",PG-13,7.81,21259,50225,272
Persona 3 the Movie 2: Midsummer Knight's Dream,Movie,1,Finished Airing,6/7/2014,-,-,A-1 Pictures,Game,"Action,Supernatural,Fantasy",R,7.81,19933,40323,126
Persona 5 the Animation,TV,24,Currently Airing,4/8/2018,-,Spring,A-1 Pictures,Game,"Action,Supernatural,Fantasy",R,7.8,6768,75083,249
Princess Sara,TV,46,Finished Airing,1/6/1985,12/29/1985,Winter,Nippon Animation,Novel,"Slice of Life,Historical,Drama,Shoujo",G,7.81,5319,10121,55
Seikai no Senki III,OVA,2,Finished Airing,8/6/2005,-,-,Sunrise,Light novel,"Action,Military,Romance,Sci-Fi,Space",PG-13,7.81,6709,12591,46
Sidonia no Kishi,TV,12,Finished Airing,4/11/2014,6/27/2014,Spring,Polygon Pictures,Manga,"Action,Mecha,Sci-Fi,Seinen,Space",R,7.81,75176,152622,1248
Tetsuwan Birdy Decode:02,TV,12,Finished Airing,1/10/2009,3/28/2009,Winter,A-1 Pictures,Manga,"Action,Sci-Fi,Comedy",R,7.81,17640,34901,203
Wakakusa Monogatari: Nan to Jo-sensei,TV,40,Finished Airing,1/17/1993,12/19/1993,Winter,Nippon Animation,4-koma manga,"Drama,Historical,School,Slice of Life",G,7.81,1559,3450,15
Akame ga Kill!,TV,24,Finished Airing,7/7/2014,12/15/2014,Summer,White Fox,Manga,"Action,Adventure,Drama,Fantasy,Shounen",R,7.8,467037,762315,14292
Bungou Stray Dogs: Hitori Ayumu,OVA,1,Finished Airing,8/4/2017,-,-,Bones,Manga,"Action,Mystery,Supernatural,Seinen",PG-13,7.8,10366,33454,61
Chi's Sweet Home,TV,104,Finished Airing,3/31/2008,9/25/2008,Spring,Madhouse,Manga,"Comedy,Slice of Life",G,7.8,16486,43141,381
Digimon Adventure: Bokura no War Game!,Movie,1,Finished Airing,3/4/2000,-,-,Toei Animation,Original,"Sci-Fi,Adventure,Comedy,Kids",PG,7.8,28931,45740,165
Giovanni no Shima,Movie,1,Finished Airing,2/22/2014,-,-,Production I.G,Original,"Drama,Historical",PG-13,7.8,5189,15328,41
Go! Princess Precure,TV,50,Finished Airing,2/1/2015,1/31/2016,Winter,Toei Animation,Original,"Action,Comedy,Fantasy,Magic,School,Shoujo,Slice of Life",G,7.8,2304,7323,151
Hachimitsu to Clover Specials,Special,2,Finished Airing,12/23/2005,2/24/2006,-,J.C.Staff,Manga,"Comedy,Drama,Josei,Romance,Slice of Life",PG-13,7.8,12694,23269,54
Hakuouki Sekkaroku,OVA,6,Finished Airing,8/5/2011,6/27/2012,-,Studio Deen,Visual novel,"Action,Historical,Demons,Drama,Fantasy,Josei",PG-13,7.8,7626,18237,78
Kill la Kill Specials,Special,2,Finished Airing,9/3/2014,-,-,Trigger,Original,"Action,Comedy,Super Power,School",R,7.8,65780,109987,186
Kuroko no Basket NG-shuu,Special,9,Finished Airing,7/27/2012,3/22/2013,-,Production I.G,Light novel,"Comedy,School,Shounen,Sports",PG-13,7.8,21376,39668,64
Kuroko no Basket: Mou Ikkai Yarimasen ka,Special,1,Finished Airing,6/20/2014,-,-,Production I.G,Manga,"Comedy,School,Shounen,Sports",PG-13,7.8,13497,26491,24
One Piece: Episode of Luffy - Hand Island no Bouken,Special,1,Finished Airing,12/15/2012,-,-,Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Fantasy,Shounen",PG-13,7.8,15543,27698,23
Owari no Seraph: Nagoya Kessen-hen,TV,12,Finished Airing,10/10/2015,12/26/2015,Fall,Wit Studio,Manga,"Action,Military,Supernatural,Drama,Vampire,Shounen",R,7.8,176465,302074,1760
Pokemon XY&Z,TV,47,Finished Airing,10/29/2015,10/27/2016,Fall,OLM,Game,"Action,Adventure,Comedy,Kids,Fantasy",PG,7.8,15824,30675,355
Romeo x Juliet,TV,24,Finished Airing,4/5/2007,9/26/2007,Spring,Gonzo,Book,"Drama,Fantasy,Historical,Romance",PG-13,7.8,47936,115047,1127
Rozen Maiden: Ouverture,Special,2,Finished Airing,12/23/2006,12/24/2006,-,Nomad,Manga,"Action,Comedy,Drama,Magic,Seinen",PG-13,7.8,28655,48583,230
Shigatsu wa Kimi no Uso: Moments,OVA,1,Finished Airing,5/15/2015,-,-,A-1 Pictures,Manga,"Music,Shounen",PG-13,7.8,32401,57669,119
Soredemo Sekai wa Utsukushii,TV,12,Finished Airing,4/6/2014,6/29/2014,Spring,Studio Pierrot,Manga,"Adventure,Romance,Fantasy,Shoujo",PG-13,7.8,68791,144490,1273
Aikatsu Stars!,TV,100,Finished Airing,4/7/2016,3/29/2018,Spring,Bandai Namco Pictures,Original,"Music,Slice of Life,School,Shoujo",PG,7.79,1226,8722,148
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA,1,Finished Airing,1/5/2016,-,-,Bones,Manga,"Drama,Fantasy,Romance,Shoujo",PG-13,7.79,16706,33741,89
Chibi Maruko-chan,TV,142,Finished Airing,1/7/1990,9/27/1992,Winter,Nippon Animation,Manga,"Comedy,Slice of Life,Shoujo",G,7.79,2441,6133,62
Hetalia World Series Specials,Special,4,Finished Airing,3/25/2011,9/24/2012,-,Studio Deen,Web manga,"Comedy,Historical,Parody",PG-13,7.79,8039,17082,59
Hidamari Sketch x 365 Specials,Special,3,Finished Airing,3/25/2009,10/24/2009,-,Shaft,4-koma manga,"Slice of Life,Comedy,School,Seinen",PG-13,7.79,6332,12115,9
Hourou Musuko,TV,11,Finished Airing,1/14/2011,4/1/2011,Winter,AIC Classic,Manga,"Slice of Life,Drama,Romance,School",PG-13,7.79,24442,71133,710
Ichigo Mashimaro OVA,OVA,3,Finished Airing,2/23/2007,4/25/2007,-,Daume,4-koma manga,"Comedy,School,Slice of Life",PG-13,7.79,9721,16733,20
JoJo no Kimyou na Bouken: Phantom Blood,Movie,1,Finished Airing,2/17/2007,-,-,APPP,Manga,"Action,Adventure,Horror,Shounen,Vampire",R,7.79,4262,14883,241
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,Movie,1,Finished Airing,4/21/2007,-,-,Shaft,Light novel,"Adventure,Drama,Fantasy",R,7.79,14857,31003,21
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),TV,373,Finished Airing,6/16/1996,12/19/2004,Summer,Studio Gallop,Manga,"Slice of Life,Comedy,Police",PG-13,7.79,1949,6715,81
Love Live! Sunshine!! 2nd Season,TV,13,Finished Airing,10/7/2017,12/30/2017,Fall,Sunrise,Original,"Music,School,Slice of Life",PG-13,7.79,16656,43417,748
Macross Plus,OVA,4,Finished Airing,8/25/1994,6/25/1995,-,Triangle Staff,Original,"Drama,Mecha,Military,Romance,Sci-Fi,Space",R,7.79,14665,27872,294
Macross Plus Movie Edition,Movie,1,Finished Airing,10/7/1995,-,-,Triangle Staff,Original,"Action,Adventure,Mecha,Military,Romance,Sci-Fi,Space",PG-13,7.79,5301,9952,48
Maria-sama ga Miteru: Haru,TV,13,Finished Airing,7/4/2004,9/26/2004,Summer,Studio Deen,Light novel,"Drama,Romance,School,Shoujo,Shoujo Ai",PG-13,7.79,8776,17377,63
Mitsudomoe Zouryouchuu!,TV,8,Finished Airing,1/9/2011,2/27/2011,Winter,Bridge,-,"Slice of Life,Comedy,School",PG-13,7.79,18517,31214,73
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,TV,10,Finished Airing,1/12/2013,3/16/2013,Winter,Diomedea,Light novel,"Action,Comedy,Fantasy,Supernatural",PG-13,7.79,167244,305534,3208
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,Special,1,Finished Airing,8/22/2015,-,-,Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",PG-13,7.79,10240,17900,14
Seikai no Monshou,TV,13,Finished Airing,1/3/1999,3/28/1999,Winter,Sunrise,Light novel,"Action,Military,Sci-Fi,Space,Romance",PG-13,7.79,13025,31884,362
Taiyou no Kiba Dagram,TV,75,Finished Airing,10/23/1981,3/25/1983,Fall,Sunrise,4-koma manga,"Mecha,Military,Drama,Sci-Fi,Shounen",PG-13,7.79,542,2587,37
Toaru Majutsu no Index II,TV,24,Finished Airing,10/8/2010,4/1/2011,Fall,J.C.Staff,Light novel,"Action,Sci-Fi,Super Power,Magic",R,7.79,128878,234098,1430
Tsuritama,TV,12,Finished Airing,4/13/2012,6/29/2012,Spring,A-1 Pictures,Original,"Comedy,Sci-Fi,Slice of Life,Sports",PG-13,7.79,41879,108419,1979
Udon no Kuni no Kiniro Kemari,TV,12,Finished Airing,10/9/2016,12/25/2016,Fall,LIDENFILMS,Manga,"Slice of Life,Fantasy,Seinen",PG-13,7.79,24671,61597,305
Working!!,TV,13,Finished Airing,4/4/2010,6/27/2010,Spring,A-1 Pictures,4-koma manga,"Slice of Life,Comedy,Romance",PG-13,7.79,125540,248633,1940
Yuru Camp Specials,Special,3,Currently Airing,3/28/2018,7/25/2018,-,C-Station,Manga,"Slice of Life,Comedy",PG-13,7.79,1034,11867,16
AKB0048: Next Stage,TV,13,Finished Airing,1/6/2013,3/31/2013,Winter,Satelight,Original,"Music,Sci-Fi",PG-13,7.78,14005,26108,302
Bishoujo Senshi Sailor Moon R: The Movie,Movie,1,Finished Airing,12/5/1993,-,-,Toei Animation,Manga,"Drama,Magic,Romance,Shoujo",PG-13,7.78,23136,39500,190
Break Blade 6: Doukoku no Toride,Movie,1,Finished Airing,3/26/2011,-,-,"Production I.G,Xebec",Manga,"Action,Mecha,Military,Shounen",R,7.78,27205,43725,27
Change!! Getter Robo: Sekai Saigo no Hi,OVA,13,Finished Airing,8/25/1998,5/25/1999,-,Brain's Base,-,"Action,Psychological,Adventure,Mecha,Sci-Fi,Horror,Shounen",R,7.78,2994,7266,179
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Movie,1,Finished Airing,4/21/2001,-,-,Shin-Ei Animation,Manga,"Sci-Fi,Comedy,Seinen",G,7.78,1909,3639,19
Daa! Daa! Daa!,TV,78,Finished Airing,3/28/2000,2/26/2002,Spring,J.C.Staff,Manga,"Comedy,Sci-Fi,Shoujo",G,7.78,6551,15115,213
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV,11,Finished Airing,7/14/2016,9/22/2016,Summer,Lerche,Game,"Action,Mystery,Horror,Psychological,School",R,7.78,58727,119125,1906
Dragon Ball Super,TV,131,Finished Airing,7/5/2015,3/25/2018,Summer,Toei Animation,Manga,"Action,Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power",PG-13,7.78,95807,242036,4188
Flip Flappers,TV,13,Finished Airing,10/6/2016,12/29/2016,Fall,Studio 3Hz,Original,"Sci-Fi,Adventure,Comedy,Magic",PG-13,7.78,38800,103603,1344
Hakkenden: Touhou Hakken Ibun 2nd Season,TV,13,Finished Airing,7/7/2013,9/29/2013,Summer,Studio Deen,Manga,"Action,Demons,Supernatural,Fantasy,Shoujo",PG-13,7.78,19683,41051,171
Hello! Lady Lynn,TV,36,Finished Airing,5/12/1988,1/26/1989,Spring,Toei Animation,Manga,Drama,G,7.78,996,2211,25
K: Return of Kings,TV,13,Finished Airing,10/3/2015,12/26/2015,Fall,GoHands,Original,"Action,Super Power,Supernatural",PG-13,7.78,75603,166838,928
Kindaichi Shounen no Jikenbo Returns 2nd Season,TV,22,Finished Airing,10/3/2015,3/26/2016,Fall,Toei Animation,Manga,"Mystery,Shounen",R,7.78,2163,5439,28
Ojamajo Doremi Na-i-sho,OVA,13,Finished Airing,6/26/2004,12/11/2004,-,Toei Animation,Other,"Comedy,Fantasy,Magic,Shoujo",G,7.78,2114,4899,47
Overlord Movie 2: Shikkoku no Eiyuu,Movie,1,Finished Airing,3/11/2017,-,-,Madhouse,Light novel,"Action,Game,Supernatural,Magic,Fantasy",R,7.79,5175,24639,69
Sentou Mecha Xabungle,TV,50,Finished Airing,2/6/1982,1/29/1983,Winter,Sunrise,Original,"Military,Sci-Fi,Mecha,Shounen",PG-13,7.78,528,2233,22
Tennis no Ouji-sama: Another Story - Kako to Mirai no Message,OVA,4,Finished Airing,5/26/2009,9/25/2009,-,M.S.C,-,"Comedy,Sports,School,Shounen",PG-13,7.78,5052,10877,34
Another,TV,12,Finished Airing,1/10/2012,3/27/2012,Winter,P.A. Works,Novel,"Mystery,Horror,Supernatural,Thriller,School",R,7.77,463082,757905,11320
Baka to Test to Shoukanjuu,TV,13,Finished Airing,1/7/2010,4/1/2010,Winter,Silver Link.,Light novel,"Comedy,Romance,School,Super Power",PG-13,7.77,217096,383768,4919
Bounen no Xamdou,ONA,26,Finished Airing,7/15/2008,2/4/2009,-,Bones,Original,"Action,Military,Sci-Fi",PG-13,7.77,43166,94492,916
Detective Conan Movie 09: Promo Special,Special,1,Finished Airing,-,-,-,TMS Entertainment,-,"Adventure,Police,Comedy,Mystery,Shounen",PG-13,7.77,2140,5488,3
Eikoku Koi Monogatari Emma,TV,12,Finished Airing,4/3/2005,6/19/2005,Spring,Studio Pierrot,Manga,"Slice of Life,Historical,Drama,Romance,Seinen",G,7.77,10184,30630,219
Fruits Basket,TV,26,Finished Airing,7/5/2001,12/27/2001,Summer,Studio Deen,Manga,"Slice of Life,Comedy,Drama,Romance,Fantasy,Shoujo",PG-13,7.77,166937,290319,7538
Gabriel DropOut Specials,Special,2,Finished Airing,3/24/2017,5/24/2017,-,Doga Kobo,Manga,"Comedy,Demons,Supernatural,School,Shounen",PG-13,7.77,12985,24824,39
Gakuen Alice,TV,26,Finished Airing,10/30/2004,5/14/2005,Fall,Group TAC,Manga,"Comedy,School,Shoujo,Super Power",G,7.77,33032,62497,1396
Ichigo Mashimaro Encore,OVA,2,Finished Airing,1/23/2009,3/25/2009,-,Daume,4-koma manga,"Comedy,Slice of Life",PG-13,7.77,7971,14295,14
Kanojo to Kanojo no Neko: Everything Flows,TV,4,Finished Airing,3/4/2016,3/25/2016,Winter,LIDENFILMS,Original,"Slice of Life,Psychological,Romance",G,7.77,28738,59558,332
Koyomimonogatari,ONA,12,Finished Airing,1/10/2016,3/27/2016,-,Shaft,Light novel,"Mystery,Comedy,Supernatural",R,7.77,43529,91001,195
Minami-ke,TV,13,Finished Airing,10/8/2007,12/31/2007,Fall,Daume,Manga,"Slice of Life,Comedy,School",PG-13,7.77,54732,123635,1090
Mobile Suit Gundam: Char's Counterattack,Movie,1,Finished Airing,3/12/1988,-,-,"Sunrise,Studio Hibari",Novel,"Military,Sci-Fi,Space,Drama,Mecha",PG-13,7.77,13795,23835,186
Nanatsu no Taizai OVA,OVA,2,Finished Airing,6/17/2015,8/12/2015,-,A-1 Pictures,Manga,"Action,Adventure,Supernatural,Magic,Fantasy,Shounen",PG-13,7.77,33459,63937,94
Poyopoyo Kansatsu Nikki,TV,52,Finished Airing,1/8/2012,12/30/2012,Winter,Studio Deen,4-koma manga,"Slice of Life,Comedy,Seinen",PG,7.77,6414,15803,127
Servant x Service,TV,13,Finished Airing,7/5/2013,9/27/2013,Summer,A-1 Pictures,4-koma manga,"Comedy,Slice of Life",PG-13,7.77,52012,111479,464
Super Lovers OVA,OVA,2,Finished Airing,1/1/2017,9/1/2017,-,Studio Deen,Manga,"Slice of Life,Comedy,Drama,Romance,Shounen Ai",PG-13,7.77,2737,12781,44
Tenkuu no Escaflowne,TV,26,Finished Airing,4/2/1996,9/24/1996,Spring,Sunrise,Original,"Adventure,Psychological,Romance,Fantasy,Mecha,Shoujo",PG-13,7.77,46308,98680,1811
Yumeiro Patissiere SP Professional,TV,13,Finished Airing,10/3/2010,12/26/2010,Fall,Studio Pierrot,Manga,"Slice of Life,Shoujo",G,7.77,14067,24592,148
Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,Movie,1,Finished Airing,12/4/1994,-,-,"Toei Animation,Production Reed",Manga,"Adventure,Fantasy,Magic,Comedy,Romance,Drama,Shoujo",PG-13,7.76,19228,34006,101
